Date,order id,Product ,Qty,Unit Price (NGN),Total,Vendor,channel,Payment Method,Delivery Fee
22/05/2026,BD57395,Jollof Rice,2,"NGN1,800",3600,Jummie Kitchen,APP,card,200
08/06/2026,BD75987,  SOFT DRINK  ,1,400,400,Amala Pavilion,APP,pos,0
2026-05-22,BD85303,Eba & Okra,2,1500,3000,Amala Pavilion,APP,pos,500
03-Jul-2026,BD25653,  SOFT DRINK  ,3,400,1200,Munchies,walkin,transfer,500
2026-06-15,BD44843,Bottled Water,1,200,200,Amala Pavilion,walkin,card,300
2026-07-20,BD50543,Moi Moi,2,700,1400,Alaga Spot,walk-in,Cash,0
22/07/2026,BD16103,White Rice & Stew,2,1500,3000,Amala Pavilion,APP,Transfer,200
03/07/2026,BD46113,White Rice & Stew,2,1500,3000,Butter N Crumbs,phone,Transfer,0
01/05/2026,BD80381,Meat Pie,3,864,2592,Jummie Kitchen,App,cash,300
28/06/2026,BD95093,  SOFT DRINK  ,1,400,400,Munchies,walk-in,card,500
2026-07-19,BD31750,  FRIED RICE  ,1,1800,1800,Munchies,APP,POS,500
18/07/2026,BD16834,White Rice & Stew,1,1500,1500,Alaga Spot,Walk In,card,300
29/06/2026,BD83160,Zobo,2,500,1000,Munchies,app,Transfer,0
03/06/2026,BD38883,Beef (piece),1,800,800,Munchies,walkin,transfer,500
2026-05-22,BD98724,Pounded Yam & Egusi,1,2500,2500,Jummie Kitchen,phone,cash,500
11/06/2026,BD70646,Soft Drink,2,400,800,Alaga Spot,Phone,transfer,0
25/05/2026,BD15699,Fish (piece),2,1254,2508,Munchies,Walk In,Transfer,500
01/06/2026,BD31627,White Rice & Stew,2,1500,3000,Butter N Crumbs,app,Transfer,0
25/06/2026,BD15587,Jollof Rice,2,1800,3600,Jummie Kitchen,APP,Cash,300
04/06/2026,BD22934,Pounded Yam & Egusi,1,2500,2500,Butter N Crumbs,Phone,cash,500
18/07/2026,BD67133,Meat Pie,3,800,2400,Alaga Spot,walk-in,Cash,200
03/05/2026,BD72031,Moi Moi,2,700,1400,Jummie Kitchen,phone,POS,500
09/06/2026,BD28346,Pounded Yam & Egusi,2,2500,5000,Butter N Crumbs,walk-in,transfer,200
2026-05-19,BD90689,Zobo,1,500,500,Jummie Kitchen,Phone,pos,500
19/05/2026,BD68073,Meat Pie,1,800,800,Jummie Kitchen,walk-in,pos,0
06-May-2026,BD22015,Amala & Ewedu,4,2000,8000,Butter N Crumbs,app,transfer,200
06/07/2026,BD74983,Puff Puff (6pcs),1,500,500,Munchies,phone,POS,200
14/06/2026,BD74440,  MEAT PIE  ,1,800,800,Alaga Spot,app,POS,0
27/05/2026,BD28643,Moi Moi,1,700,700,Amala Pavilion,App,POS,500
18/05/2026,BD59006,Soft Drink,2,400,800,Munchies,APP,Cash,0
21/05/2026,BD30636,  BEEF (PIECE)  ,1,800,800,Jummie Kitchen,phone,cash,300
09/05/2026,BD41552,Puff Puff (6pcs),1,500,500,Jummie Kitchen,,,200
20/07/2026,BD73123,Pounded Yam & Egusi,2,2500,5000,Munchies,Walk In,POS,0
16/05/2026,BD36941,Chicken (piece),3,1500,4500,Amala Pavilion,Walk In,POS,200
21/05/2026,BD20202,White Rice & Stew,1,1500,1500,Amala Pavilion,walk-in,card,300
13/06/2026,BD11469,Fried Rice,1,1800,1800,Alaga Spot,Phone,cash,0
04/06/2026,BD79417,Beef (piece),3,800,2400,Munchies,walk-in,pos,0
2026-07-28,BD83076,Moi Moi,4,700,2800,Jummie Kitchen,walk-in,Cash,500
14/07/2026,BD37453,Puff Puff (6pcs),1,500,500,Alaga Spot,walkin,POS,300
09/05/2026,BD20358,Bottled Water,2,200,400,Amala Pavilion,Walk In,POS,300
20/07/2026,BD62032,  JOLLOF RICE  ,1,2048,2048,Munchies,App,pos,200
08-Jun-2026,BD80593,Beef (piece),1,800,800,Jummie Kitchen,Phone,Transfer,300
11/05/2026,BD39536,Moi Moi,1,700,700,Alaga Spot,Phone,transfer,500
